osm_id,name:en,latitude,longitude
"6435564417",,40.1670672,44.4445582
"6435564419",,40.1669699,44.4443536
"6436346074",,40.1786995,44.4925863
"6436422519",,40.2035038,44.5562840
"6436422520",,40.1956438,44.5470121
"6436422521",,40.1871882,44.5228398
"6436422522",,40.1869925,44.5228700
"6438590420",,40.1850428,44.5225588
"6438590421",,40.1802546,44.5237240
"6438616277",,40.2136152,44.5626264
"6438616278",,40.2093769,44.5608689
"6438720788",,40.2204820,44.5778658
"6438720790",,40.2181179,44.5619480
"6989144740",,40.1502902,44.5225032
"7397059611",,40.1371936,44.4575543
"7401808915",,40.1911063,44.5736118
"7401808916",,40.1917873,44.5762878
"7401808918",,40.1906076,44.5787939
"7401808927",,40.1879925,44.5816203
"7401808929",,40.1874209,44.5825332
"7401808930",,40.1894597,44.5904843
"7401808931",,40.1893754,44.5912808
"7401808933",,40.1884415,44.5950425
"7401918787",,40.1894973,44.5716917
"7402687666",,40.1715199,44.4914273
"7402687672",,40.1741781,44.4957220
"7402687674",,40.1736470,44.4946363
"7442165329",,40.1938961,44.5623442
"7442165330",,40.1942346,44.5625330
"7442165334",,40.2003472,44.5593659
"7442165335",,40.2001524,44.5638887
"7442165338",,40.1996921,44.5610433
"7442165345",,40.1992830,44.5576040
"7442165347",,40.1983643,44.5585311
"7442165349",,40.1970581,44.5592396
"7442468368",,40.1866950,44.5308615
"7442468370",,40.1855453,44.5320910
"7442468373",,40.1866172,44.5341620
"7442468378",,40.1856705,44.5410660
"7442468384",,40.1867298,44.5443304
"7442470687",,40.1880669,44.5447433
"7442470691",,40.1894188,44.5416010
"7442470692",,40.1904893,44.5394577
"7442470695",,40.1908651,44.5419980
"7442470696",,40.1909215,44.5417613
"7442470699",,40.1914344,44.5480371
"7442470700",,40.1914159,44.5477983
"7442470701",,40.1911024,44.5445663
"7442470702",,40.1910123,44.5440915
"7442739385",,40.1897166,44.5217250
"7442931632",,40.1919661,44.4625746
"7443076626",,40.1984549,44.4521373
"7443076628",,40.1954328,44.4534549
"7443076630",,40.1910931,44.4552951
"7443076632",,40.1915597,44.4574230
"7443076634",,40.1922424,44.4598453
