Restaurant Names,Rating,Rating Count,Latitude,Longitude
Tumanyan Khinkali,4.5,1574,40.183182,44.516136
Taroni Ojakh,0.0,0,40.182720,44.498981
Kavkazskaya Plennitsa,3.5,83,40.182220,44.520954
Anoush Restaurant,4.5,375,40.179390,44.509251
Dargett Craft Beer,4.5,510,40.183640,44.508110
Indian Mehak Restaurant & Bar,5.0,375,40.199318,44.536457
Akori,5.0,133,40.186649,44.486786
Pandok Mets Hayq,4.5,7,40.162498,44.512424
Family House,5.0,76,40.180634,44.507488
Mane Garden Restaurant,5.0,2,40.180065,44.502579
Tavern Yerevan,5.0,966,40.188828,44.521564
Avenue by L'Orange,4.5,33,40.182255,44.515438
Jaco Restaurant,4.0,13,40.202328,44.494610
Lahmajun Gaidz,4.5,70,40.179859,44.519604
Tavern Yerevan,4.5,361,40.178814,44.501747
Genacvale Pandok,4.5,9,40.185047,44.524097
Old Jrvezh Armenia,4.5,63,40.191261,44.588612
Cafe Delice,4.5,11,40.191982,44.505405
Parking,4.5,2,40.187202,44.515209
BlackFish SushiDelivery,0.0,0,40.133091,44.530090
Straus Business Cafe,5.0,4,40.173840,44.505684
Beatles Pub Yerevan,4.5,23,40.185432,44.509026
Art Lunch Mergelyan branch,0.0,0,40.179615,44.525181
Coffee ROOM,0.0,0,40.199692,44.565502
Yellow YERAZ,0.0,0,40.178230,44.515453
Baba Ghanouj,0.0,0,40.183804,44.500576
The Capital,0.0,0,40.184830,44.512043
Ouloung Restaurant-Club,4.5,7,40.178780,44.500175
Hacker Pschorr Munchen Grill House Yerevan,4.0,29,40.190254,44.515144
Rio Bar,5.0,5,40.186401,44.507435
Livingston Restaurant,5.0,76,40.188568,44.483521
Ai Leoni Bar Ristorante Italiano,4.5,55,40.186611,44.511639
Vincent Lobby Bar,0.0,0,40.175423,44.508812
Local's Coffee & Eatery,4.5,11,40.155060,44.499634
SANTAFE,4.0,17,40.187962,44.515251
Genacvale Pandok,4.5,81,40.195248,44.488300
Jazzve Cafe,3.5,207,40.186829,44.510998
Pahest33,3.5,28,40.187874,44.515724
Caucasus Tavern,4.0,100,40.179527,44.522751
2 Lives,0.0,0,40.187199,44.512436
Wine Republic,4.5,454,40.189259,44.516045
Centrico Cascade,4.5,2,40.189480,44.513935
Katsa,5.0,361,40.178684,44.504875
OPERA Club-Restaurant,0.0,0,40.186302,44.515175
Soul Kitchen Yerevan,5.0,1,40.183605,44.510677
Buffalo Grill Bar,4.0,36,40.178329,44.520481
Peacock Cafe,4.5,9,40.181969,44.514469
"Hugo Bar, Restaurant & Cafe",4.5,22,40.180134,44.515621
Nubara Family Restaurant,5.0,15,40.216599,44.577007
KAV Restaurant and Guest House,5.0,5,40.176598,44.493519
Ararat View-Garden,0.0,0,40.175331,44.557949
Malkhas Jazz Club.,4.0,334,40.184265,44.510460
Sushi Salon,0.0,0,40.197197,44.518955
La Cucina,4.5,130,40.185287,44.517658
