Name,latitude,longitude
The Coast Yerevan,40.188911,44.515724
ARIES Modern Lunch Hall,40.155704,44.524937
Dialogue Cafe Restaurant,40.200424,44.521397
Milos Greek Tavern,40.181503,44.519817
Panorama Lounge Bar,40.174107,44.505638
Mozaic Sky Restaurant,40.175156,44.510075
Face Pub,40.182949,44.516663
Gini Restaurant,40.17886,44.506653
Saryan Notes,40.187046,44.509693
Hindenburg Pub,40.188988,44.513058
Abu Hagop Sandwich,40.183506,44.511814
August Cafeteria,40.189037,44.515751
Zion Kosher Restaurante,40.192024,44.503891
Mane Cocktail Bar,40.187107,44.509701
Bravo,40.200314,44.498657
Old Faeton,40.208366,44.529022
Jose Cafe Club Restaurant,40.175632,44.521606
La Folie,40.183308,44.519714
Koziryok,40.186569,44.514004
Tom Collins,40.182896,44.512039
1880 Bar & More,40.187946,44.510731
Yans,40.190361,44.524113
The Vineyard Restaurant,40.187828,44.522007
AKO Sushi,40.185242,44.516388
Dos Amigos Cafe Restaurant,40.183331,44.511452
GREENHOUSE,40.182285,44.514488
Monte Cristo,40.188999,44.500343
Monroe Cafe & Lounge,40.182064,44.517334
Dragon china restaurant,40.187031,44.513966
Tavern Yerevan,40.172958,44.511425
Sweet Mood,40.178501,44.519897
Laziz Armenia,40.17897,44.509483
PitStop Burger,40.184219,44.510391
M Cafe,40.183846,44.50695
Mangiare Restaurant Cafe and Bakery,40.174984,44.52013
Alaska by Hans&Franz,40.182995,44.508568
La Familia,40.212662,44.522587
Take Away Kitchen-Shop,40.18644,44.513153
PH Lounge Cafe,40.18502,44.514626
Metelitsa,40.182087,44.509335
Pharaon Restaurant,40.253456,44.592052
Verona,40.186413,44.522789
Samurai Sushi Bar,40.188889,44.513996
Rehan Cafe & Restaurant,40.189552,44.514069
Red Rock Music Pub,40.180588,44.520195
MacGuffin Art House,40.185093,44.510727
Santa Fe,40.188038,44.515255
Mary Bakery,40.179012,44.509857
Bonapart Cafe & Pastry Shop,40.186577,44.511742
Coffee Charge by Diamond,40.175983,44.517441
MEZZO,40.188557,44.520302
Armhookah,40.183613,44.514084
Sicilia Restaurant,40.204735,44.502728
Ost Bistro,40.181049,44.508194
Marilda Restaurant & Café,40.187202,44.515209
Karma Indian Restaurant,40.185951,44.51825
Drakht Restaurant,40.209286,44.559933
Dream's Music Cafe,40.182228,44.520348
Urban Beerhouse & Restaurant,40.17881,44.504852
SteakOut Grill House,40.189064,44.518398
Voodoo Hookah Lounge,40.178234,44.527554
JJ Lounge Club,40.183899,44.515057
Black Star Burger,40.179855,44.51403
Dolma Restaurant,40.220047,44.491371
Rush Music Club,40.179794,44.506306
Tavern Ani,40.179943,44.522552
Snezhinka,40.183128,44.519634
Triumph,40.188385,44.519817
Pandok N1,40.170044,44.507523
Florence Restaurant,40.194504,44.481319
La Casa Trattoria,40.182629,44.514153
Tarber,40.178917,44.521492
Salon Armenian Restaurant,40.180649,44.515404
Novella Music Hall,40.18232,44.524918
Viniro-Wine Cafe,40.182758,44.514149
Akhtamar Restaurant,40.170181,44.516708
ZaNaZaN,40.186085,44.508106
Yerevan Nights,40.172508,44.498684
Old School Pub,40.182205,44.518105
Bibar,40.182949,44.516663
Just Cafe,40.181976,44.514473
Time To Eat,40.169765,44.507385
Apres Meat Products,40.178982,44.521786
Paulaner,40.190117,44.515522
Karas - Auto,40.190498,44.462963
Dos Amigos Hot Wings,40.186409,44.513214
Elvis Cafe,40.175674,44.521645
Claude Monet Yerevan,40.174961,44.521725
Tumanyan Khinkali,40.183182,44.516136
Taroni Ojakh,40.18272,44.498981
Kavkazskaya Plennitsa,40.18222,44.520954
Anoush Restaurant,40.17939,44.509251
Dargett Craft Beer,40.18364,44.50811
Indian Mehak Restaurant & Bar,40.199318,44.536457
Akori,40.186649,44.486786
Pandok Mets Hayq,40.162498,44.512424
Family House,40.180634,44.507488
Mane Garden Restaurant,40.180065,44.502579
Tavern Yerevan,40.188828,44.521564
Avenue by L'Orange,40.182255,44.515438
Jaco Restaurant,40.202328,44.49461
Lahmajun Gaidz,40.179859,44.519604
Tavern Yerevan,40.178814,44.501747
Genacvale Pandok,40.185047,44.524097
Old Jrvezh Armenia,40.191261,44.588612
Cafe Delice,40.191982,44.505405
Parking,40.187202,44.515209
BlackFish SushiDelivery,40.133091,44.53009
Straus Business Cafe,40.17384,44.505684
Beatles Pub Yerevan,40.185432,44.509026
